scrape_timestamp,origin,destination,advance_window_days,flight_date,airline,departure_time,arrival_time,duration,is_direct,total_fare_inr
2026-08-28T19:31:09.539735,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539757,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539762,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539767,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539770,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539773,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539775,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539778,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539781,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539783,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539786,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539788,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539791,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539793,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539796,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:31:09.539799,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
