scrape_timestamp,origin,destination,advance_window_days,flight_date,airline,departure_time,arrival_time,duration,is_direct,total_fare_inr
2026-08-28T19:38:28.056409,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056430,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056435,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056439,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056442,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056444,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056447,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056450,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056452,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056455,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056458,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056460,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056463,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056465,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056468,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056471,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056473,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056476,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056478,DEL,BOM,1,2026-08-29,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-28T19:38:28.056481,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056484,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056486,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056489,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056491,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056494,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056496,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056499,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056502,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
2026-08-28T19:38:28.056504,DEL,BOM,1,2026-08-29,Air India,N/A,N/A,N/A,True,6582.0
