scrape_timestamp,origin,destination,advance_window_days,flight_date,airline,departure_time,arrival_time,duration,is_direct,total_fare_inr
2026-08-27T11:32:29.407157,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407185,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407192,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407198,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407201,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407204,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407206,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407209,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407211,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407214,DEL,BOM,30,2026-09-26,IndiGo,N/A,N/A,N/A,True,6425.0
2026-08-27T11:32:29.407217,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407219,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407222,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407224,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407227,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407229,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407232,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407235,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407237,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407240,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407242,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407245,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407247,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407250,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407252,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407255,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407258,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407260,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
2026-08-27T11:32:29.407263,DEL,BOM,30,2026-09-26,Air India,N/A,N/A,N/A,True,6582.0
